2026-02-20 14:21:17,339 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:21:17,431 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:21:19,348 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:21:19,396 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:19,446 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:19,524 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:19,553 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:21,458 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:21,600 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:21,666 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:21,723 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:21,766 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:23,703 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:23,763 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:23,826 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:23,859 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:23,896 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
